navigation_id,timestamp,planned_x,planned_y,executed_x,executed_y,path_error,accumulated_distance,instantaneous_velocity,elapsed_time
1,1734627253.045,1.655,-0.183,1.650,-0.201,0.017,1.140,0.152,9.948
1,1734627253.245,1.680,-0.183,1.682,-0.200,0.017,1.171,0.158,10.148
1,1734627253.445,1.680,-0.180,1.657,-0.237,0.061,1.216,0.222,10.348
1,1734627253.645,1.680,-0.180,1.688,-0.237,0.057,1.247,0.159,10.548
1,1734627253.845,1.730,-0.180,1.717,-0.237,0.057,1.276,0.141,10.748
1,1734627254.045,1.755,-0.180,1.748,-0.236,0.056,1.307,0.159,10.948
1,1734627254.245,1.780,-0.180,1.777,-0.233,0.053,1.336,0.145,11.148
1,1734627254.445,1.805,-0.180,1.804,-0.229,0.049,1.363,0.135,11.348
1,1734627254.645,1.780,-0.180,1.788,-0.222,0.042,1.380,0.086,11.548
1,1734627254.845,1.780,-0.180,1.789,-0.222,0.042,1.381,0.003,11.748
1,1734627255.046,1.780,-0.180,1.789,-0.222,0.042,1.381,0.001,11.949
1,1734627255.245,1.780,-0.180,1.789,-0.222,0.042,1.381,0.001,12.148
1,1734627255.445,1.780,-0.180,1.789,-0.222,0.042,1.382,0.001,12.348
1,1734627255.645,1.780,-0.180,1.788,-0.222,0.042,1.382,0.001,12.548
1,1734627255.845,1.780,-0.180,1.788,-0.222,0.042,1.382,0.000,12.748
1,1734627256.045,1.780,-0.180,1.788,-0.222,0.042,1.382,0.000,12.948
1,1734627256.245,1.780,-0.180,1.788,-0.222,0.042,1.382,0.000,13.148
1,1734627256.445,1.780,-0.180,1.788,-0.222,0.042,1.382,0.000,13.348
1,1734627256.648,1.780,-0.180,1.788,-0.222,0.042,1.382,0.000,13.551
2,1734627256.847,1.780,-0.230,1.788,-0.222,0.001,0.000,0.000,0.032
2,1734627257.047,1.780,-0.230,1.789,-0.222,0.000,0.001,0.003,0.232
2,1734627257.246,1.809,-0.205,1.807,-0.219,0.009,0.019,0.092,0.431
2,1734627257.448,1.834,-0.201,1.837,-0.212,0.010,0.050,0.155,0.633
2,1734627257.646,1.859,-0.202,1.863,-0.203,0.005,0.078,0.139,0.832
2,1734627257.847,1.857,-0.177,1.858,-0.166,0.010,0.115,0.189,1.033
2,1734627258.046,1.907,-0.161,1.883,-0.152,0.021,0.144,0.142,1.232
2,1734627258.246,1.927,-0.147,1.909,-0.135,0.020,0.175,0.157,1.432
2,1734627258.446,1.927,-0.147,1.911,-0.124,0.027,0.186,0.053,1.631
2,1734627258.648,1.946,-0.130,1.934,-0.102,0.030,0.217,0.157,1.833
2,1734627258.848,1.989,-0.079,1.953,-0.080,0.036,0.246,0.145,2.033
2,1734627259.047,1.980,-0.053,1.964,-0.055,0.017,0.273,0.136,2.232
2,1734627259.247,1.980,-0.028,1.980,-0.032,0.000,0.302,0.144,2.433
2,1734627259.447,1.980,-0.003,1.996,-0.005,0.015,0.333,0.154,2.633
2,1734627259.646,1.981,0.022,2.009,0.020,0.029,0.362,0.144,2.832
2,1734627259.848,1.981,0.047,2.016,0.044,0.036,0.386,0.123,3.034
2,1734627260.047,2.030,0.070,2.027,0.070,0.002,0.415,0.145,3.232
2,1734627260.246,2.015,0.119,2.038,0.100,0.016,0.446,0.154,3.432
2,1734627260.447,2.015,0.119,2.046,0.127,0.032,0.475,0.147,3.632
2,1734627260.646,2.011,0.144,2.054,0.157,0.044,0.506,0.154,3.831
2,1734627260.847,2.007,0.169,2.039,0.178,0.033,0.532,0.128,4.032
2,1734627261.046,2.080,0.220,2.043,0.209,0.036,0.563,0.155,4.231
2,1734627261.247,2.055,0.253,2.046,0.237,0.016,0.592,0.145,4.432
2,1734627261.446,2.046,0.276,2.049,0.268,0.001,0.623,0.154,4.631
2,1734627261.647,2.036,0.299,2.051,0.297,0.013,0.652,0.147,4.832
2,1734627261.846,2.025,0.321,2.051,0.328,0.027,0.683,0.154,5.031
2,1734627262.047,2.030,0.370,2.052,0.360,0.024,0.714,0.158,5.233
2,1734627262.247,2.030,0.370,2.051,0.388,0.025,0.742,0.141,5.432
2,1734627262.447,2.030,0.370,2.064,0.400,0.041,0.760,0.090,5.632
2,1734627262.645,2.017,0.415,2.062,0.428,0.046,0.788,0.140,5.831
2,1734627262.847,2.014,0.465,2.060,0.460,0.046,0.820,0.157,6.032
2,1734627263.047,2.030,0.520,2.057,0.489,0.042,0.849,0.146,6.232
2,1734627263.246,2.030,0.520,2.055,0.519,0.025,0.880,0.154,6.432
2,1734627263.446,2.030,0.520,2.052,0.548,0.030,0.909,0.146,6.631
2,1734627263.645,2.015,0.564,2.049,0.579,0.035,0.940,0.153,6.831
2,1734627263.846,2.008,0.613,2.045,0.608,0.036,0.969,0.146,7.031
2,1734627264.045,2.030,0.620,2.041,0.638,0.016,0.999,0.151,7.231
2,1734627264.247,2.018,0.665,2.036,0.674,0.019,1.036,0.185,7.432
2,1734627264.447,2.013,0.714,2.031,0.705,0.017,1.067,0.154,7.632
2,1734627264.646,2.010,0.739,2.026,0.733,0.016,1.096,0.144,7.832
2,1734627264.846,2.006,0.764,2.021,0.764,0.014,1.127,0.155,8.031
2,1734627265.045,2.003,0.789,2.016,0.792,0.014,1.156,0.146,8.231
2,1734627265.245,2.015,0.816,2.011,0.823,0.003,1.186,0.153,8.431
2,1734627265.446,2.012,0.841,2.007,0.844,0.004,1.208,0.108,8.631
2,1734627265.646,2.004,0.890,2.001,0.881,0.004,1.246,0.188,8.831
2,1734627265.847,1.999,0.915,1.996,0.910,0.004,1.275,0.148,9.032
2,1734627266.047,1.995,0.939,1.985,0.926,0.012,1.294,0.095,9.232
2,1734627266.246,1.980,0.970,1.980,0.954,0.016,1.323,0.144,9.432
2,1734627266.446,1.980,0.970,1.975,0.985,0.001,1.354,0.156,9.631
2,1734627266.646,1.969,1.011,1.970,1.016,0.001,1.385,0.156,9.832
2,1734627266.845,1.967,1.036,1.965,1.044,0.001,1.414,0.140,10.031
2,1734627267.046,1.962,1.086,1.960,1.075,0.003,1.445,0.157,10.232
2,1734627267.245,1.929,1.108,1.955,1.103,0.026,1.474,0.143,10.431
2,1734627267.446,1.928,1.133,1.950,1.134,0.022,1.505,0.157,10.632
2,1734627267.646,1.927,1.158,1.945,1.163,0.018,1.535,0.147,10.832
2,1734627267.846,1.927,1.158,1.940,1.165,0.013,1.540,0.026,11.031
2,1734627268.045,1.927,1.183,1.936,1.193,0.009,1.569,0.145,11.231
2,1734627268.245,1.930,1.220,1.931,1.223,0.001,1.599,0.150,11.431
2,1734627268.445,1.922,1.257,1.926,1.251,0.002,1.628,0.145,11.631
2,1734627268.645,1.921,1.282,1.921,1.282,0.001,1.659,0.155,11.831
2,1734627268.846,1.920,1.307,1.916,1.311,0.005,1.688,0.147,12.031
2,1734627269.045,1.921,1.332,1.911,1.341,0.010,1.718,0.153,12.231
2,1734627269.246,1.930,1.370,1.906,1.370,0.023,1.748,0.147,12.431
2,1734627269.445,1.917,1.409,1.901,1.400,0.018,1.778,0.151,12.631
2,1734627269.645,1.913,1.434,1.895,1.419,0.019,1.798,0.101,12.830
2,1734627269.846,1.906,1.458,1.890,1.449,0.018,1.829,0.155,13.032
2,1734627270.045,1.906,1.483,1.884,1.478,0.022,1.858,0.146,13.231
2,1734627270.245,1.880,1.520,1.878,1.508,0.012,1.889,0.155,13.431
2,1734627270.446,1.884,1.552,1.872,1.537,0.010,1.918,0.145,13.631
2,1734627270.645,1.882,1.576,1.866,1.567,0.016,1.949,0.154,13.831
2,1734627270.846,1.879,1.601,1.860,1.598,0.019,1.980,0.156,14.031
2,1734627271.045,1.876,1.626,1.855,1.625,0.022,2.008,0.141,14.231
2,1734627271.246,1.830,1.670,1.849,1.654,0.025,2.037,0.145,14.431
2,1734627271.446,1.830,1.670,1.844,1.676,0.016,2.060,0.116,14.631
2,1734627271.646,1.830,1.670,1.836,1.695,0.026,2.081,0.103,14.831
2,1734627271.847,1.830,1.670,1.828,1.721,0.051,2.108,0.137,15.032
2,1734627272.047,1.830,1.670,1.818,1.749,0.080,2.138,0.150,15.232
2,1734627272.246,1.749,1.698,1.799,1.766,0.085,2.164,0.128,15.431
2,1734627272.447,1.794,1.770,1.784,1.793,0.023,2.194,0.152,15.632
2,1734627272.646,1.769,1.770,1.768,1.816,0.046,2.222,0.141,15.832
2,1734627272.847,1.769,1.770,1.765,1.850,0.080,2.257,0.171,16.032
2,1734627273.046,1.744,1.769,1.745,1.871,0.102,2.286,0.145,16.232
2,1734627273.246,1.719,1.769,1.722,1.892,0.123,2.317,0.155,16.431
2,1734627273.447,1.680,1.870,1.710,1.917,0.056,2.345,0.141,16.632
2,1734627273.646,1.680,1.870,1.684,1.935,0.065,2.376,0.157,16.832
2,1734627273.846,1.680,1.870,1.660,1.950,0.080,2.405,0.143,17.032
2,1734627274.046,1.635,1.870,1.632,1.964,0.094,2.436,0.155,17.232
2,1734627274.247,1.610,1.870,1.605,1.986,0.116,2.471,0.173,17.432
2,1734627274.445,1.580,1.970,1.577,1.997,0.028,2.501,0.155,17.631
2,1734627274.647,1.534,1.966,1.549,2.006,0.039,2.530,0.145,17.832
2,1734627274.845,1.534,1.966,1.519,2.014,0.050,2.561,0.153,18.031
2,1734627275.046,1.509,1.963,1.490,2.030,0.068,2.595,0.167,18.232
2,1734627275.246,1.459,1.956,1.459,2.035,0.078,2.626,0.154,18.431
2,1734627275.447,1.451,2.002,1.428,2.039,0.044,2.657,0.159,18.632
2,1734627275.645,1.429,1.991,1.400,2.042,0.058,2.686,0.142,18.831
2,1734627275.847,1.408,1.977,1.368,2.044,0.077,2.717,0.158,19.033
2,1734627276.046,1.388,1.962,1.340,2.044,0.095,2.745,0.141,19.232
2,1734627276.246,1.343,1.940,1.305,2.050,0.116,2.780,0.175,19.432
2,1734627276.445,1.330,2.020,1.277,2.049,0.061,2.809,0.143,19.631
2,1734627276.646,1.330,2.020,1.246,2.047,0.088,2.840,0.153,19.831
2,1734627276.846,1.330,2.020,1.217,2.045,0.116,2.869,0.145,20.031
2,1734627277.046,1.330,2.020,1.186,2.042,0.145,2.900,0.155,20.232
2,1734627277.246,1.168,1.890,1.157,2.039,0.149,2.929,0.146,20.431
2,1734627277.445,1.130,2.020,1.127,2.035,0.016,2.959,0.154,20.631
2,1734627277.646,1.130,2.020,1.098,2.032,0.034,2.989,0.147,20.832
2,1734627277.845,1.130,2.020,1.068,2.028,0.063,3.019,0.151,21.031
2,1734627278.046,1.130,2.020,1.039,2.024,0.092,3.048,0.146,21.232
2,1734627278.245,1.130,2.020,1.007,2.042,0.124,3.084,0.178,21.431
2,1734627278.446,1.130,2.020,0.979,2.039,0.152,3.113,0.145,21.631
2,1734627278.645,0.980,2.020,0.948,2.035,0.036,3.144,0.155,21.831
2,1734627278.846,0.980,2.020,0.919,2.032,0.062,3.173,0.146,22.031
2,1734627279.046,0.980,2.020,0.888,2.029,0.091,3.204,0.153,22.231
2,1734627279.246,0.980,2.020,0.859,2.026,0.119,3.233,0.146,22.431
2,1734627279.446,0.810,1.903,0.829,2.024,0.122,3.263,0.151,22.632
2,1734627279.646,0.780,2.020,0.800,2.022,0.002,3.293,0.147,22.831
2,1734627279.846,0.780,2.020,0.769,2.020,0.000,3.323,0.153,23.031
2,1734627280.046,0.780,2.020,0.776,2.026,0.006,3.332,0.043,23.231
2,1734627280.245,0.755,2.020,0.747,2.026,0.006,3.360,0.141,23.431
2,1734627280.445,0.705,2.020,0.716,2.025,0.005,3.392,0.158,23.631
2,1734627280.645,0.680,2.020,0.688,2.026,0.010,3.420,0.141,23.830
2,1734627280.845,0.680,2.020,0.657,2.026,0.006,3.451,0.156,24.031
2,1734627281.045,0.630,2.020,0.627,2.027,0.007,3.480,0.147,24.231
2,1734627281.245,0.605,2.020,0.597,2.028,0.008,3.511,0.153,24.431
2,1734627281.445,0.555,2.020,0.567,2.030,0.010,3.540,0.148,24.630
2,1734627281.645,0.530,2.020,0.539,2.032,0.012,3.569,0.142,24.831
2,1734627281.846,0.530,2.020,0.553,2.015,0.005,3.591,0.109,25.031
2,1734627282.045,0.530,2.020,0.528,2.016,0.004,3.616,0.123,25.231
2,1734627282.245,0.505,2.020,0.505,2.018,0.002,3.639,0.116,25.431
2,1734627282.445,0.480,2.020,0.489,2.019,0.001,3.655,0.079,25.631
2,1734627282.645,0.480,2.020,0.489,2.019,0.001,3.655,0.001,25.831
2,1734627282.845,0.480,2.020,0.489,2.019,0.001,3.655,0.001,26.031
2,1734627283.045,0.480,2.020,0.489,2.019,0.001,3.655,0.001,26.231
2,1734627283.245,0.480,2.020,0.489,2.019,0.001,3.655,0.000,26.430
2,1734627283.445,0.480,2.020,0.489,2.019,0.001,3.655,0.000,26.630
2,1734627283.645,0.480,2.020,0.489,2.019,0.001,3.655,0.000,26.831
2,1734627283.845,0.480,2.020,0.489,2.019,0.001,3.655,0.000,27.030
2,1734627284.045,0.480,2.020,0.489,2.019,0.001,3.655,0.000,27.231
2,1734627284.245,0.480,2.020,0.489,2.019,0.001,3.655,0.000,27.431
2,1734627284.445,0.480,2.020,0.489,2.019,0.001,3.655,0.000,27.630
2,1734627284.645,0.480,2.020,0.489,2.019,0.001,3.655,0.000,27.830
2,1734627284.845,0.480,2.020,0.489,2.019,0.001,3.655,0.000,28.030
2,1734627285.045,0.480,2.020,0.489,2.019,0.001,3.655,0.000,28.231
2,1734627285.245,0.480,2.020,0.489,2.019,0.001,3.655,0.000,28.431
2,1734627285.445,0.480,2.020,0.489,2.019,0.001,3.655,0.000,28.631
2,1734627285.645,0.480,2.020,0.489,2.019,0.001,3.655,0.000,28.830
2,1734627285.845,0.480,2.020,0.489,2.019,0.001,3.655,0.000,29.031
2,1734627286.045,0.480,2.020,0.489,2.019,0.001,3.655,0.000,29.230
2,1734627286.245,0.480,2.020,0.489,2.019,0.001,3.655,0.000,29.431
2,1734627286.445,0.480,2.020,0.489,2.019,0.001,3.655,0.000,29.631
2,1734627286.645,0.480,2.020,0.489,2.019,0.001,3.655,0.000,29.830
2,1734627286.845,0.480,2.020,0.489,2.019,0.001,3.655,0.000,30.030
2,1734627287.045,0.480,2.020,0.489,2.019,0.001,3.655,0.000,30.231
2,1734627287.245,0.480,2.020,0.489,2.019,0.001,3.655,0.000,30.431
2,1734627287.445,0.480,2.020,0.489,2.019,0.001,3.655,0.000,30.630
2,1734627287.645,0.480,2.020,0.489,2.019,0.001,3.655,0.000,30.831
2,1734627287.845,0.480,2.020,0.489,2.019,0.001,3.655,0.000,31.031
2,1734627288.045,0.480,2.020,0.489,2.019,0.001,3.655,0.000,31.231
2,1734627288.245,0.480,2.020,0.489,2.019,0.001,3.655,0.000,31.431
2,1734627288.445,0.480,2.020,0.489,2.019,0.001,3.655,0.000,31.631
2,1734627288.645,0.480,2.020,0.489,2.019,0.001,3.655,0.000,31.830
2,1734627288.845,0.480,2.020,0.489,2.019,0.001,3.655,0.000,32.031
2,1734627289.045,0.480,2.020,0.489,2.019,0.001,3.655,0.000,32.230
3,1734627289.246,0.530,2.020,0.489,2.019,0.041,0.000,0.000,0.034
3,1734627289.445,0.530,2.020,0.489,2.019,0.041,0.000,0.000,0.234
3,1734627289.645,0.530,2.020,0.489,2.019,0.041,0.001,0.004,0.434
3,1734627289.846,0.530,2.020,0.488,2.020,0.042,0.001,0.003,0.635
3,1734627290.046,0.530,2.020,0.523,1.997,0.024,0.042,0.206,0.835
3,1734627290.246,0.530,2.020,0.523,1.997,0.024,0.042,0.000,1.035
3,1734627290.446,0.530,2.020,0.522,1.997,0.024,0.043,0.001,1.235
3,1734627290.645,0.530,2.020,0.538,1.999,0.015,0.059,0.080,1.434
3,1734627290.845,0.530,2.020,0.537,2.000,0.015,0.060,0.009,1.634
3,1734627291.046,0.530,2.020,0.530,2.009,0.010,0.072,0.057,1.834
3,1734627291.246,0.530,2.020,0.529,2.011,0.009,0.074,0.010,2.035
3,1734627291.445,0.530,2.020,0.533,2.013,0.007,0.079,0.026,2.234
3,1734627291.646,0.530,2.020,0.533,2.013,0.006,0.079,0.001,2.434
3,1734627291.846,0.530,2.020,0.533,2.015,0.005,0.081,0.008,2.635
3,1734627292.046,0.530,2.020,0.546,2.030,0.010,0.101,0.100,2.835
3,1734627292.245,0.530,2.020,0.545,2.032,0.012,0.103,0.010,3.034
3,1734627292.445,0.577,2.019,0.559,2.048,0.028,0.123,0.102,3.234
3,1734627292.646,0.577,2.019,0.559,2.049,0.029,0.124,0.006,3.435
3,1734627292.846,0.577,2.019,0.567,2.064,0.044,0.141,0.085,3.634
3,1734627293.046,0.577,2.019,0.571,2.077,0.058,0.155,0.070,3.835
3,1734627293.245,0.577,2.019,0.578,2.099,0.080,0.178,0.115,4.034
3,1734627293.446,0.580,2.120,0.591,2.121,0.002,0.204,0.129,4.234
3,1734627293.646,0.625,2.116,0.612,2.146,0.028,0.236,0.159,4.435
3,1734627293.846,0.625,2.116,0.632,2.170,0.055,0.268,0.160,4.634
3,1734627294.046,0.650,2.114,0.650,2.189,0.074,0.294,0.131,4.835
3,1734627294.246,0.675,2.112,0.690,2.212,0.101,0.340,0.228,5.034
3,1734627294.445,0.724,2.211,0.712,2.227,0.014,0.367,0.136,5.234
3,1734627294.645,0.724,2.211,0.737,2.241,0.032,0.396,0.144,5.434
3,1734627294.846,0.772,2.200,0.776,2.255,0.054,0.436,0.203,5.634
3,1734627295.047,0.772,2.200,0.803,2.264,0.070,0.465,0.144,5.835
3,1734627295.246,0.796,2.192,0.829,2.270,0.085,0.492,0.136,6.035
3,1734627295.445,0.830,2.270,0.871,2.280,0.041,0.535,0.216,6.234
3,1734627295.645,0.848,2.236,0.899,2.282,0.067,0.564,0.141,6.434
3,1734627295.847,0.882,2.201,0.930,2.282,0.094,0.595,0.154,6.635
3,1734627296.045,0.882,2.201,0.973,2.291,0.127,0.638,0.215,6.834
3,1734627296.245,0.965,2.153,1.003,2.286,0.138,0.669,0.154,7.034
3,1734627296.446,1.030,2.270,1.032,2.281,0.011,0.697,0.144,7.234
3,1734627296.646,1.030,2.270,1.061,2.274,0.032,0.728,0.153,7.434
3,1734627296.846,1.030,2.270,1.090,2.266,0.060,0.758,0.148,7.634
3,1734627297.046,1.030,2.270,1.125,2.259,0.095,0.793,0.178,7.834
3,1734627297.246,1.030,2.270,1.151,2.249,0.123,0.822,0.142,8.035
3,1734627297.446,1.030,2.270,1.179,2.236,0.153,0.853,0.155,8.234
3,1734627297.645,1.180,2.220,1.208,2.223,0.028,0.884,0.156,8.434
3,1734627297.846,1.180,2.220,1.233,2.210,0.054,0.912,0.141,8.634
3,1734627298.046,1.180,2.220,1.261,2.195,0.084,0.944,0.158,8.834
3,1734627298.246,1.180,2.220,1.286,2.181,0.112,0.972,0.142,9.034
3,1734627298.446,1.180,2.220,1.313,2.166,0.144,1.004,0.158,9.234
3,1734627298.646,1.325,2.138,1.339,2.151,0.011,1.033,0.147,9.435
3,1734627298.846,1.325,2.138,1.337,2.143,0.011,1.042,0.044,9.635
3,1734627299.045,1.325,2.138,1.362,2.129,0.037,1.071,0.143,9.834
3,1734627299.246,1.325,2.113,1.390,2.115,0.065,1.102,0.155,10.034
3,1734627299.445,1.325,2.113,1.415,2.102,0.091,1.130,0.144,10.234
3,1734627299.646,1.430,2.070,1.443,2.087,0.021,1.161,0.154,10.435
3,1734627299.846,1.462,2.057,1.469,2.074,0.019,1.191,0.146,10.634
3,1734627300.046,1.486,2.050,1.497,2.061,0.015,1.221,0.153,10.834
3,1734627300.246,1.509,2.040,1.523,2.049,0.015,1.251,0.146,11.034
3,1734627300.446,1.531,2.028,1.550,2.035,0.017,1.281,0.150,11.235
3,1734627300.646,1.530,2.020,1.541,2.013,0.005,1.305,0.120,11.434
3,1734627300.846,1.565,2.014,1.568,1.997,0.016,1.336,0.155,11.634
3,1734627301.046,1.589,2.010,1.593,1.983,0.027,1.365,0.145,11.834
3,1734627301.246,1.636,1.995,1.619,1.967,0.032,1.396,0.154,12.034
3,1734627301.447,1.659,1.984,1.644,1.952,0.035,1.425,0.146,12.235
3,1734627301.646,1.671,1.915,1.671,1.936,0.021,1.455,0.152,12.434
3,1734627301.846,1.696,1.912,1.696,1.922,0.009,1.484,0.145,12.634
3,1734627302.046,1.721,1.908,1.722,1.906,0.003,1.515,0.154,12.835
3,1734627302.246,1.745,1.904,1.748,1.888,0.014,1.546,0.157,13.035
3,1734627302.446,1.769,1.897,1.771,1.872,0.023,1.575,0.142,13.235
3,1734627302.647,1.780,1.870,1.796,1.853,0.005,1.606,0.157,13.436
3,1734627302.846,1.806,1.830,1.798,1.811,0.018,1.648,0.210,13.635
3,1734627303.047,1.840,1.793,1.820,1.790,0.016,1.680,0.157,13.835
3,1734627303.247,1.857,1.775,1.841,1.769,0.016,1.708,0.144,14.035
3,1734627303.447,1.874,1.756,1.862,1.747,0.015,1.739,0.155,14.235
3,1734627303.645,1.880,1.720,1.881,1.724,0.004,1.769,0.147,14.434
3,1734627303.847,1.908,1.696,1.892,1.688,0.017,1.807,0.191,14.635
3,1734627304.046,1.927,1.680,1.908,1.664,0.024,1.835,0.142,14.834
3,1734627304.246,1.942,1.660,1.924,1.638,0.027,1.866,0.154,15.034
3,1734627304.447,1.963,1.614,1.938,1.612,0.024,1.895,0.146,15.235
3,1734627304.646,1.969,1.590,1.952,1.585,0.017,1.926,0.155,15.434
3,1734627304.845,1.934,1.536,1.964,1.552,0.032,1.961,0.175,15.634
3,1734627305.045,1.935,1.511,1.975,1.523,0.041,1.992,0.155,15.834
3,1734627305.246,1.937,1.486,1.985,1.496,0.049,2.021,0.143,16.034
3,1734627305.445,1.939,1.461,1.995,1.467,0.056,2.052,0.154,16.234
3,1734627305.645,1.941,1.436,2.003,1.438,0.062,2.081,0.147,16.434
3,1734627305.845,1.980,1.420,2.010,1.409,0.031,2.112,0.152,16.634
3,1734627306.046,1.977,1.368,2.017,1.380,0.039,2.141,0.147,16.834
3,1734627306.246,1.977,1.343,2.017,1.336,0.040,2.186,0.222,17.034
3,1734627306.445,1.977,1.293,2.022,1.305,0.045,2.217,0.156,17.234
3,1734627306.646,1.977,1.268,2.027,1.277,0.049,2.245,0.141,17.434
3,1734627306.845,2.016,1.231,2.031,1.246,0.009,2.276,0.157,17.634
3,1734627307.045,2.016,1.231,2.034,1.217,0.019,2.305,0.143,17.834
3,1734627307.245,2.009,1.182,2.036,1.186,0.026,2.337,0.157,18.034
3,1734627307.446,2.004,1.157,2.038,1.158,0.033,2.365,0.140,18.234
3,1734627307.647,1.997,1.133,2.039,1.127,0.042,2.396,0.157,18.435
3,1734627307.845,2.020,1.092,2.040,1.097,0.017,2.425,0.146,18.634
3,1734627308.046,2.019,1.067,2.025,1.060,0.006,2.466,0.203,18.834
3,1734627308.245,2.018,1.042,2.025,1.031,0.007,2.495,0.144,19.034
3,1734627308.445,2.016,0.992,2.025,1.000,0.008,2.526,0.155,19.234
3,1734627308.645,2.015,0.967,2.024,0.971,0.009,2.555,0.146,19.434
3,1734627308.845,2.023,0.938,2.024,0.940,0.000,2.585,0.152,19.634
3,1734627309.045,2.021,0.913,2.023,0.911,0.002,2.614,0.145,19.834
3,1734627309.246,2.018,0.889,2.022,0.881,0.004,2.645,0.153,20.034
3,1734627309.446,2.015,0.864,2.020,0.851,0.007,2.674,0.148,20.234
3,1734627309.645,2.008,0.814,2.019,0.821,0.010,2.705,0.153,20.434
3,1734627309.846,2.030,0.770,2.017,0.791,0.025,2.734,0.147,20.635
